Algoritimo,Tamanho do Padrao,Numero de Padroes,Numero de Tentativas,Tempo Total
3,2,16,1,0.960110
3,3,64,1,3.915554
3,4,256,1,14.793012
3,5,1024,1,60.040903
3,6,4096,1,239.028256
3,7,200,80,11.602180
3,7,20,800,1.188312
3,8,20,1000,1.184185
3,8,100,2000,5.781917
3,9,1200,30,68.981926
3,9,20,500,1.182092
3,10,1200,30,68.831715
3,11,100,1000,5.817683
3,12,100,1000,5.709279
3,13,100,1000,5.788626
------------------------------------------
1,2,1,1,1.470014
1,3,1,1,1.452115
1,4,1,1,1.450694
1,5,1,1,1.443272
1,6,1,1,1.493679
1,7,1,1,1.445788
1,8,1,1,1.457622
1,9,1,1,1.486700
1,10,1,1,1.488412
1,11,1,1,1.457006
1,12,1,1,1.447185
1,13,1,1,1.438715
2,2,1,1,1.526241
2,3,1,1,1.496735
2,4,1,1,1.483343
2,5,1,1,1.477074
2,6,1,1,1.496338
2,7,1,1,1.508956
2,8,1,1,1.499753
2,9,1,1,1.510636
2,10,1,1,1.494762
2,11,1,1,1.490585
2,12,1,1,1.482636
2,13,1,1,1.490470
3,2,1,1,0.077217
3,3,1,1,0.089116
3,4,1,1,0.080764
3,5,1,1,0.082295
3,6,1,1,0.075800
3,7,1,1,0.075804
3,8,1,1,0.073148
3,9,1,1,0.068606
3,10,1,1,0.074267
3,11,1,1,0.077256
3,12,1,1,0.064207
3,13,1,1,0.069471
2,2,2,1,2.980421
2,2,3,1,4.458085
2,2,4,1,5.834549
1,2,2,1,2.919270
1,2,3,1,4.416097
1,2,4,1,5.892282
3,2,2,1,0.121727
3,2,3,1,0.184880
3,2,4,1,0.253962
------------------------------------------
1,2,16,1,23.483453
1,3,64,1,93.566840
1,4,256,1,371.422883
1,5,1024,1,1483.036332
2,2,16,1,23.419188
2,3,64,1,93.248031
2,4,256,1,380.073632
2,5,1024,1,1494.577140
------------------------------------------
3,9,5,5,0.288247
3,9,5,10,0.290049
3,9,5,50,0.297523
3,9,5,100,0.298574
3,9,5,500,0.301250
3,9,5,1000,0.297891
3,9,5,2000,0.298014
3,9,5,5000,0.294206
------------------------------------------
3,8,5,1,0.283098
3,8,10,1,0.585069
3,8,25,1,1.432064
3,8,50,1,2.794168
3,8,100,1,5.705500
3,8,500,1,28.205006
3,8,1000,1,56.324607
3,8,2500,1,142.246426
3,8,5000,1,279.826701
2,8,5,1,7.191726
2,8,10,1,14.410023
2,8,25,1,36.133930
2,8,50,1,71.853820
2,8,100,1,143.826616
2,8,500,1,720.252226
1,8,5,1,7.088942
1,8,10,1,14.232963
1,8,25,1,35.272828
1,8,50,1,71.207302
1,8,100,1,142.089949
1,8,500,1,710.117589
